TimeStamp, Open, Close, High, Low, Volume, BaseVolume
5/11/2017 2:16:00 AM,0.00193879,0.00193879,0.00193879,0.00193879,13.86633297,0.0268839
5/11/2017 2:18:00 AM,0.00192,0.00192,0.00192,0.00192,5.51957577,0.01059758
5/11/2017 2:27:00 AM,0.00192,0.00192,0.00192,0.00192,38.92377795,0.07473365
5/11/2017 2:28:00 AM,0.00192,0.00195,0.00195,0.00192,294.68417294,0.56952117
5/11/2017 2:29:00 AM,0.00195,0.002,0.002,0.00195,1257.02740467,2.5068028
5/11/2017 10:04:00 AM,0.00185,0.00185,0.00185,0.00185,74.66922126,0.13813805
5/11/2017 10:14:00 AM,0.00180001,0.0018,0.00180001,0.0018,113.61360767,0.20450511
5/11/2017 11:58:00 AM,0.0017,0.0016666,0.0017,0.0016666,122.59282791,0.2059832
5/11/2017 12:53:00 PM,0.0016666,0.0016666,0.0016666,0.0016666,27.40717209,0.04567679
5/11/2017 4:25:00 PM,0.00189999,0.00189999,0.00189999,0.00189999,5000,9.49994998
5/12/2017 3:25:00 AM,0.00166674,0.00166673,0.00166674,0.00166673,204.4537362,0.34076988
5/12/2017 5:01:00 AM,0.00166673,0.00166673,0.00166673,0.00166673,935.1867252,1.55870375
5/12/2017 6:32:00 AM,0.00166673,0.001655,0.00166673,0.001655,1119.17896646,1.85275147
5/12/2017 11:55:00 AM,0.001655,0.001655,0.001655,0.001655,100,0.1655
5/12/2017 12:00:00 PM,0.00165,0.0016,0.00165,0.0016,1269.64233754,2.06206302
5/12/2017 12:46:00 PM,0.0016,0.0016,0.0016,0.0016,1144.10746366,1.83057193
5/12/2017 5:44:00 PM,0.00160019,0.0016001,0.00160019,0.0016001,131.54683662,0.2104972
5/12/2017 5:45:00 PM,0.0016,0.0016,0.0016,0.0016,2239.95451383,3.58392722
5/12/2017 11:26:00 PM,0.001586,0.00157776,0.001586,0.00157776,1215.14884435,1.91844108
5/12/2017 11:27:00 PM,0.00157776,0.00157775,0.00157776,0.00157775,196.73212398,0.31039606
5/13/2017 12:02:00 AM,0.00157776,0.00156665,0.00157776,0.00156665,152.92866322,0.24128207
5/13/2017 1:12:00 AM,0.00156665,0.00151112,0.00156665,0.00151112,14.76425122,0.02266412
5/13/2017 7:19:00 AM,0.00150001,0.0015,0.00150001,0.0015,480.66726146,0.72100549
5/13/2017 7:37:00 AM,0.0015,0.00149,0.0015,0.00149,354.88768248,0.53231153
5/13/2017 7:39:00 AM,0.00149,0.00149,0.00149,0.00149,8.0009993,0.01192148
5/13/2017 7:56:00 AM,0.00148,0.00143334,0.00148,0.00143334,18.02614904,0.02667748
5/13/2017 8:15:00 AM,0.00143334,0.0014,0.00143334,0.0014,400.97385096,0.56933986
5/13/2017 12:58:00 PM,0.0015,0.00142,0.0015,0.00142,8704.11897599,12.59061798
5/13/2017 8:21:00 PM,0.0016,0.0016,0.0016,0.0016,5.14324092,0.00822918
5/14/2017 12:21:00 AM,0.0016,0.0016,0.0016,0.0016,34.85675908,0.05577081
5/14/2017 11:46:00 AM,0.00169985,0.00169985,0.00169985,0.00169985,16,0.0271976
5/14/2017 3:20:00 PM,0.00142005,0.00142005,0.00142005,0.00142005,12,0.0170406
5/15/2017 1:11:00 AM,0.0014201,0.0014201,0.0014201,0.0014201,793.52022847,1.12687807
5/15/2017 1:12:00 AM,0.00169949,0.00142011,0.00199919,0.00142011,5107.51921302,8.63334951
5/15/2017 1:13:00 AM,0.00199919,0.00199919,0.00199919,0.00142011,11620.16816652,20.30116267
5/15/2017 1:14:00 AM,0.00142011,0.00199919,0.00199919,0.00142011,19818.305703,33.8803135
5/15/2017 1:15:00 AM,0.00142011,0.00142011,0.00199919,0.00142011,54686.83552291,88.90006894
5/15/2017 1:16:00 AM,0.00199919,0.00142011,0.00199919,0.00142011,91290.16580182,151.66201521
5/15/2017 1:17:00 AM,0.00199919,0.00142011,0.00199919,0.00142011,164892.49942195,277.30887915
5/15/2017 1:18:00 AM,0.00199919,0.00142011,0.00199919,0.00142011,187569.84367828,320.6787832
5/15/2017 1:19:00 AM,0.00199918,0.00142011,0.00199919,0.00142011,187768.9844727,321.01924419
5/15/2017 1:20:00 AM,0.00199919,0.00199919,0.00199919,0.00142011,113852.32805666,196.18008747
5/15/2017 1:21:00 AM,0.00142011,0.00142011,0.00199919,0.00142011,29221.2648901,48.42568059
5/15/2017 1:23:00 AM,0.00199995,0.00199995,0.00199995,0.00199995,9.16981674,0.01833916
5/15/2017 1:24:00 AM,0.00199995,0.00199995,0.00199995,0.00199995,1.96496073,0.00392982
5/15/2017 2:01:00 AM,0.00142013,0.00199991,0.00199991,0.00142013,1568.86716073,2.682225
5/15/2017 2:02:00 AM,0.00142013,0.00142013,0.00199991,0.00142013,7420.43469622,12.06458912
5/15/2017 2:03:00 AM,0.00199991,0.00142013,0.00199991,0.00142013,11820.48856402,19.77975986
5/15/2017 2:04:00 AM,0.00199991,0.00199991,0.00199991,0.00142014,18212.72382725,32.2001321
5/15/2017 2:05:00 AM,0.00142014,0.00199991,0.00199991,0.00142014,18607.07548254,31.34379441
5/15/2017 2:06:00 AM,0.00142014,0.00199929,0.00199929,0.00142014,5839.27104926,9.6929913
5/15/2017 2:07:00 AM,0.00142014,0.00199929,0.00199929,0.00142014,5316.48540271,8.82519067
5/15/2017 2:08:00 AM,0.00142014,0.00142019,0.00199929,0.00142014,407.51300884,0.6711856
5/15/2017 2:09:00 AM,0.00199995,0.00199995,0.00199995,0.00199995,74.97897694,0.1499542
5/15/2017 2:10:00 AM,0.00142016,0.00142011,0.00142016,0.00142011,93.15322242,0.1322889
5/15/2017 2:19:00 AM,0.001999,0.00199899,0.001999,0.00199899,2.00115752,0.00400024
5/15/2017 2:20:00 AM,0.00199899,0.00199899,0.00199899,0.00199899,4.75274911,0.00950057
5/15/2017 2:21:00 AM,0.00199899,0.00199899,0.00199899,0.00199899,1.25072345,0.00250015
5/15/2017 2:59:00 AM,0.00142011,0.00197999,0.00197999,0.00142011,1578.97142327,2.68398648
5/15/2017 3:00:00 AM,0.00142011,0.00142011,0.00197999,0.00142011,7317.73941769,11.85176691
5/15/2017 3:01:00 AM,0.00197999,0.00197999,0.00197999,0.00142011,15998.38008846,27.78452396
5/15/2017 3:02:00 AM,0.00142011,0.00197999,0.00197999,0.00142011,26711.57763043,45.40840718
5/15/2017 3:03:00 AM,0.00142011,0.00142011,0.00197999,0.00142011,59446.66355685,97.21631904
5/15/2017 3:04:00 AM,0.00197999,0.00197999,0.00197999,0.00142011,33997.22217396,59.02827402
5/15/2017 3:05:00 AM,0.00142011,0.00142011,0.00197999,0.00142011,18354.0088264,29.97143616
5/15/2017 3:06:00 AM,0.00197999,0.00142011,0.00197999,0.00142011,7432.63668266,12.63585471
5/15/2017 3:07:00 AM,0.00197999,0.00142011,0.00197999,0.00142011,263.097173,0.44727833
5/15/2017 3:15:00 AM,0.00198,0.00198,0.00198,0.00198,1.68,0.0033264
5/15/2017 3:16:00 AM,0.00198,0.00198,0.00198,0.00198,4.48,0.0088704
5/15/2017 3:17:00 AM,0.00198,0.00198,0.00198,0.00198,5.04,0.0099792
5/15/2017 3:18:00 AM,0.00198,0.00198,0.00198,0.00198,4.2,0.00831599
5/15/2017 3:19:00 AM,0.00198,0.0014201,0.001999,0.0014201,1.9,0.00348737
5/15/2017 3:57:00 AM,0.00142302,0.00197891,0.00197891,0.00142302,1561.25536285,2.65509761
5/15/2017 3:58:00 AM,0.00142302,0.00142302,0.00197891,0.00142302,7201.90121756,11.67638251
5/15/2017 3:59:00 AM,0.00197891,0.00197891,0.00197891,0.00142302,15648.25186771,27.18872582
5/15/2017 4:00:00 AM,0.00142302,0.00142302,0.00197891,0.00142302,26266.19225328,43.18605662
5/15/2017 4:01:00 AM,0.00197891,0.00142302,0.00197891,0.00142302,19559.46401366,33.26996368
5/15/2017 4:02:00 AM,0.00197891,0.00142302,0.00197891,0.00142302,17422.94894154,29.63582627
5/15/2017 4:03:00 AM,0.00197891,0.00197891,0.00197891,0.00142302,5927.51386493,10.09451921
5/15/2017 4:04:00 AM,0.00142302,0.00142302,0.00197891,0.00142302,149.48185551,0.24223772
5/15/2017 4:38:00 AM,0.00143,0.00142501,0.00197699,0.00142501,5270.78529219,8.54549263
5/15/2017 4:39:00 AM,0.00197699,0.00142501,0.00197699,0.00142501,15279.07793562,25.3159491
5/15/2017 4:40:00 AM,0.00197699,0.00142502,0.00197699,0.00142501,36109.66495887,59.82752283
5/15/2017 4:41:00 AM,0.00197699,0.00197699,0.00197699,0.00142502,40358.83222476,68.66320928
5/15/2017 4:42:00 AM,0.00142503,0.00142503,0.00197699,0.00142503,20938.18345423,34.60536007
5/15/2017 4:43:00 AM,0.00197699,0.001425,0.001977,0.001425,1235.33405422,2.1013152
5/15/2017 4:44:00 AM,0.001977,0.001977,0.001977,0.001425,25.09212512,0.04450964
5/15/2017 4:51:00 AM,0.001427,0.001427,0.001427,0.001427,1.5,0.0021405
5/15/2017 4:52:00 AM,0.001427,0.001427,0.001427,0.001427,5,0.007135
5/15/2017 11:02:00 AM,0.0017,0.0017,0.0017,0.0017,125.31089643,0.21302852
5/15/2017 12:37:00 PM,0.00189997,0.00189997,0.00189997,0.00189997,52.35940223,0.09948129
5/15/2017 3:08:00 PM,0.00189989,0.00189998,0.00189998,0.00189989,2862.63562725,5.43893108
5/15/2017 6:09:00 PM,0.001898,0.001898,0.001898,0.001898,20,0.03796
5/15/2017 9:38:00 PM,0.00189997,0.0019,0.0019,0.00189997,418.6291194,0.79539048
5/15/2017 10:46:00 PM,0.0019,0.0019,0.0019,0.0019,101.68535789,0.19320217
5/15/2017 10:48:00 PM,0.0019,0.0019,0.0019,0.0019,101.73204211,0.19329088
5/15/2017 10:55:00 PM,0.0019,0.0019,0.0019,0.0019,635.98329136,1.20836824
5/16/2017 1:17:00 AM,0.0019,0.0019,0.0019,0.0019,5141.23857995,9.76835322
5/16/2017 1:18:00 AM,0.0019,0.0019,0.0019,0.0019,2771.00160324,5.26490304
5/16/2017 1:21:00 AM,0.00190001,0.0019,0.00190001,0.0019,779.3098729,1.48068877
5/16/2017 1:22:00 AM,0.00190001,0.0019,0.00190001,0.0019,742.42364188,1.4106053
5/16/2017 1:23:00 AM,0.0019,0.0019,0.0019,0.0019,4822.47501174,9.16270249
5/16/2017 1:24:00 AM,0.0019,0.0019,0.0019,0.0019,868.15884122,1.64950179
5/16/2017 1:37:00 AM,0.00190001,0.0019,0.00190001,0.0019,690.42262565,1.3118035
5/16/2017 1:45:00 AM,0.0019,0.0019,0.0019,0.0019,12.35698118,0.02347825
5/16/2017 1:47:00 AM,0.0019,0.0019,0.0019,0.0019,1207.7935503,2.29480774
5/16/2017 2:00:00 AM,0.0019,0.0019,0.0019,0.0019,418.95,0.796005
5/16/2017 2:15:00 AM,0.0019,0.0019,0.0019,0.0019,5778.85943771,10.97983292
5/16/2017 2:16:00 AM,0.0019,0.0019,0.0019,0.0019,909.96339977,1.72893045
5/16/2017 2:23:00 AM,0.0019,0.0019,0.0019,0.0019,198.357228,0.37687873
5/16/2017 2:24:00 AM,0.0019,0.0019,0.0019,0.0019,592.83218542,1.12638115
